update,cycle,active_n,transitions_per_arm,tokens_per_arm,shared_success,specialist_success,shared_loss,specialist_loss,shared_gradient_norm,specialist_gradient_norm,sample_replay_logp_max_error,prefix_replay_max_error,masked_probability_mass_max,elapsed_seconds
221,45,3,113152,452096,0.0,0.0,-0.007862317375838757,-0.012992621399462223,0.05163577198982239,0.001988179748877883,0.0,0.0,0.0,621.4025604000053
222,45,4,113664,454144,0.0,0.0,-0.009470823220908642,-0.015450894832611084,0.04199593514204025,0.0019219097448512912,0.0,0.0,0.0,624.4961330000006
223,45,5,114176,456704,0.0,0.0,-0.011815053410828114,-0.01704716496169567,0.016282610595226288,0.0022615776397287846,0.0,0.0,0.0,628.2447454000067
224,45,6,114688,459776,0.0,0.0,-0.01295013353228569,-0.01875307410955429,0.03333914279937744,0.003638970199972391,0.0,0.0,0.0,632.8936684
225,45,2,115200,460800,0.0,0.0,-0.002949383808299899,-0.010475562885403633,0.040546439588069916,0.0025139530189335346,0.0,0.0,0.0,634.6331608000037
226,46,6,115712,463872,0.0,0.0,-0.013025505468249321,-0.01875397376716137,0.022248677909374237,0.0021484503522515297,0.0,0.0,0.0,639.387315
227,46,5,116224,466432,0.0,0.0,-0.01199349481612444,-0.017047496512532234,0.04308915510773659,0.0019139442592859268,0.0,0.0,0.0,642.5769773000065
228,46,4,116736,468480,0.0,0.0,-0.0094376802444458,-0.015451669692993164,0.06433042138814926,0.0016763901803642511,0.0,0.0,0.0,644.8407181000002
229,46,3,117248,470016,0.0,0.0,-0.008085379377007484,-0.012992143630981445,0.054875802248716354,0.0029346679802984,0.0,0.0,0.0,646.779753200004
230,46,2,117760,471040,0.0,0.0,-0.0031866179779171944,-0.010474995709955692,0.04749966785311699,0.003641816321760416,0.0,0.0,0.0,648.5892519000045
231,47,4,118272,473088,0.0,0.0,-0.009711967781186104,-0.015451889485120773,0.038456715643405914,0.0012366380542516708,0.0,0.0,0.0,651.0298327000055
232,47,2,118784,474112,0.0,0.0,-0.003267664695158601,-0.01047571375966072,0.02972782962024212,0.0015835028607398272,0.0,0.0,0.0,652.445981900004
233,47,5,119296,476672,0.0,0.0,-0.01208561472594738,-0.01704677753150463,0.03245479613542557,0.001584850251674652,0.0,0.0,0.0,655.0631419000056
234,47,3,119808,478208,0.0,0.0,-0.00810914020985365,-0.012993056327104568,0.04684145748615265,0.0026514956261962652,0.0,0.0,0.0,657.008728300003
235,47,6,120320,481280,0.0,0.0,-0.013113711029291153,-0.018755625933408737,0.023209061473608017,0.001576026203110814,0.0,0.0,0.0,660.755521900006
236,48,4,120832,483328,0.0,0.0,-0.009681922383606434,-0.01545192115008831,0.05896671488881111,0.0037260870449244976,0.0,0.0,0.0,662.9400459000026
237,48,3,121344,484864,0.0,0.0,-0.008089274168014526,-0.012992765754461288,0.04178931191563606,0.0016377036226913333,0.0,0.0,0.0,664.661494400003
238,48,6,121856,487936,0.0,0.0,-0.013088340871036053,-0.018755722790956497,0.03634970635175705,0.0022121912334114313,0.0,0.0,0.0,668.9305155000038
239,48,2,122368,488960,0.0,0.0,-0.003248261520639062,-0.010475249961018562,0.02665083296597004,0.0031080436892807484,0.0,0.0,0.0,670.6393499000042
240,48,5,122880,491520,0.0,0.0,-0.012082565575838089,-0.017047369852662086,0.038115452975034714,0.0019006975926458836,0.0,0.0,0.0,673.8279634000064
